 Source IP,Inbound, Destination IP, Source Port, Destination Port, Protocol, Timestamp, Flow Duration,Flow Bytes/s, Flow Packets/s,Fwd Packets/s, Bwd Packets/s, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std, Max Packet Length, Min Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance, Fwd Header Length.1, Fwd Header Length, Bwd Header Length, min_seg_size_forward, act_data_pkt_fwd, Flow IAT Mean, Flow IAT Max, Flow IAT Min, Flow IAT Std,Fwd IAT Total, Fwd IAT Max, Fwd IAT Min, Fwd IAT Mean, Fwd IAT Std,Bwd IAT Total, Bwd IAT Max, Bwd IAT Min, Bwd IAT Mean, Bwd IAT Std,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size,Init_Win_bytes_forward, Init_Win_bytes_backward, Active Max, Active Min,Active Mean, Active Std, Idle Max, Idle Min,Idle Mean, Idle Std,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk,Bwd Avg Bulk Rate, Bwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Avg Fwd Segment Size, Avg Bwd Segment Size, CWE Flag Count,Subflow Fwd Packets, Subflow Bwd Packets, Subflow Fwd Bytes, Subflow Bwd Bytes,Label
254.43.253.72,1,192.168.1.138,60023,8000,6,22/04/2024 23:29,3,38000000,666666.6667,333333.3333,333333.3333,1,1,60,54,60,60,60,0,54,54,54,0,60,54,57,3,9,20,20,20,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,57,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,54,0,1,1,60,54,SYN
83.131.137.6,1,192.168.1.138,60024,8000,6,22/04/2024 23:29,46,2478260.87,43478.26087,21739.13043,21739.13043,1,1,60,54,60,60,60,0,54,54,54,0,60,54,57,3,9,20,20,20,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,57,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,54,0,1,1,60,54,SYN
166.146.28.83,1,192.168.1.138,60025,8000,6,22/04/2024 23:29,74,1540540.541,27027.02703,13513.51351,13513.51351,1,1,60,54,60,60,60,0,54,54,54,0,60,54,57,3,9,20,20,20,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,57,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,54,0,1,1,60,54,SYN
131.10.189.158,1,192.168.1.138,60026,8000,6,22/04/2024 23:29,101,1128712.871,19801.9802,9900.990099,9900.990099,1,1,60,54,60,60,60,0,54,54,54,0,60,54,57,3,9,20,20,20,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,57,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,54,0,1,1,60,54,SYN
249.48.84.239,1,192.168.1.138,60027,8000,6,22/04/2024 23:29,128,890625,15625,7812.5,7812.5,1,1,60,54,60,60,60,0,54,54,54,0,60,54,57,3,9,20,20,20,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,57,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,54,0,1,1,60,54,SYN
23.131.137.213,1,192.168.1.138,60028,8000,6,22/04/2024 23:29,155,735483.871,12903.22581,6451.612903,6451.612903,1,1,60,54,60,60,60,0,54,54,54,0,60,54,57,3,9,20,20,20,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,57,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,54,0,1,1,60,54,SYN
24.251.29.84,1,192.168.1.138,60029,8000,6,22/04/2024 23:29,182,626373.6264,10989.01099,5494.505495,5494.505495,1,1,60,54,60,60,60,0,54,54,54,0,60,54,57,3,9,20,20,20,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,57,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,54,0,1,1,60,54,SYN
166.92.42.171,1,192.168.1.138,60030,8000,6,22/04/2024 23:29,209,545454.5455,9569.37799,4784.688995,4784.688995,1,1,60,54,60,60,60,0,54,54,54,0,60,54,57,3,9,20,20,20,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,57,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,54,0,1,1,60,54,SYN
58.6.115.66,1,192.168.1.138,60031,8000,6,22/04/2024 23:29,3,38000000,666666.6667,333333.3333,333333.3333,1,1,60,54,60,60,60,0,54,54,54,0,60,54,57,3,9,20,20,20,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,57,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,54,0,1,1,60,54,SYN
198.84.227.144,1,192.168.1.138,60032,8000,6,22/04/2024 23:29,29,3931034.483,68965.51724,34482.75862,34482.75862,1,1,60,54,60,60,60,0,54,54,54,0,60,54,57,3,9,20,20,20,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,57,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,54,0,1,1,60,54,SYN
